NELat,NELng,SWLat,SWLng,land_area,name,population,state,total_area
40.465664000000004,-104.962076,40.34897,-105.159768,88665136,Loveland,77446,CO,92476181
40.588467,-104.93543500000001,40.491787,-104.99471299999999,15369165,Timnath,3992,CO,15432955
39.968528000000006,-104.987761,39.818138,-105.165554,81793435,Westminster,113479,CO,87795731
39.914247,-104.600302,39.614423,-105.10992399999999,397024697,Denver,716492,CO,401270097
40.204452,-104.885602,40.109343,-105.036736,36209835,Firestone,14860,CO,36696507
40.160439000000004,-104.886482,40.080317,-105.04149299999999,36728035,Frederick,13480,CO,37073376
40.639352,-104.982077,40.472134999999994,-105.153345,146852726,Fort Collins,167830,CO,150103436
40.087995,-104.876225,40.033,-104.98190600000001,21627141,Dacono,5826,CO,21643466
40.543725,-104.841884,40.407046,-104.991695,63670415,Windsor,28967,CO,66734515
40.421723,-104.877173,40.278598,-105.002743,35647962,Johnstown,14795,CO,35870953
40.349455,-104.951231,40.277031,-105.131351,32404825,Berthoud,7946,CO,32755792
40.102295,-104.978523,40.00025,-105.10473600000002,50873458,Erie,25447,CO,51133414
40.044144,-104.96107099999999,39.889212,-105.16605600000001,85478796,Broomfield,69267,CO,86890191
40.287809,-104.907528,40.174971,-105.0459,31668579,Mead,4737,CO,31911657
40.014982,-104.94220700000001,39.868140000000004,-105.01553200000001,19038742,Northglenn,39010,CO,19277871
40.000436,-104.878022,39.830873,-105.01553600000001,91441108,Thornton,139436,CO,96618213
41.152677000000004,-111.901101,41.114107000000004,-111.999402,12002925,South Weber,7518,UT,12105235
41.285993,-111.920371,41.160109000000006,-112.02580800000001,70578959,Ogden,87325,UT,70587161
41.060239,-111.659702,41.026229,-111.70018799999998,7678308,Morgan,4260,UT,7678308
41.200787,-111.97773899999999,41.152652,-112.022524,12123675,Riverdale,8785,UT,12123675
41.197902,-111.92878200000001,41.149353000000005,-111.981261,9553593,South Ogden,17146,UT,9553593
41.149184000000005,-111.904373,41.137154,-111.960576,3203129,Uintah,1342,UT,3221896
41.030645,-111.47080700000001,40.997945,-111.51068400000001,6371879,Henefer,959,UT,6371879
41.185227000000005,-111.960999,41.152209,-111.992553,5284024,Washington Terrace,9187,UT,5284024
41.244601,-111.996385,41.176139,-112.102903,27093153,West Haven,15239,UT,27104044
41.820498,-107.17648200000001,41.754718,-107.26851299999998,21361274,Rawlins,8658,WY,21459916
41.286006,-110.928564,41.2275,-111.005572,26642066,Evanston,11704,WY,26756968
41.335804,-105.528204,41.277332,-105.697156,47485330,Laramie,32473,WY,47544848
41.784711,-107.098997,41.76677,-107.140042,6297315,Sinclair,397,WY,6297315
41.546991,-109.42525800000001,41.451965,-109.521075,35480161,Green River,11978,WY,36302722
41.647582,-109.042179,41.559509000000006,-109.29123999999999,50182572,Rock Springs,23082,WY,50182572
41.679942,-107.96316599999999,41.659191,-107.99871599999999,4447582,Wamsutter,478,WY,4447582
